Afghanistan,Poor,Tier 2 Watch List
Albania,Poor,Tier 2 Watch List
Algeria,Poor,Tier 3
Andorra,,
Angola,Poor,Tier 2 Watch List
Antigua and Barbuda,Fair,Tier 2
Argentina,Fair,Tier 2
Armenia,Poor,Tier 1
Australia,Excellent,Tier 1
Austria,Excellent,Tier 1
Azerbaijan,Poor,Tier 2
Bahrain,Good,Tier 2 Watch List
Bangladesh,Poor,Tier 2
Barbados,Fair,Tier 2 Watch List
Belarus,Poor,Tier 2 Watch List
Belgium,Excellent,Tier 1
Belize,Poor,Tier 2
Benin,Unsuitable,Tier 2
Bhutan,Poor,Tier 2
Bolivia,Poor,Tier 2
Bosnia and Herzegovina,Fair,Tier 2
Botswana,Fair,Tier 2
Brazil,Poor,Tier 2
Brunei,Good,Tier 2
Bulgaria,Fair,Tier 2
Burkina Faso,Unsuitable,Tier 2
Burma,Unsuitable,Tier 2 Watch List
Burundi,Poor,Tier 2 Watch List
Cabo Verde,,Tier 2 Watch List
Cambodia,Good,Tier 2
Cameroon,Poor,Tier 1
Canada,Excellent,Tier 2
Central African Republic,Unsuitable,Tier 3
Chad,Unsuitable,Tier 2 Watch List
Chile,Good,Tier 2
China,Poor,Tier 3 Auto-Downgrade
Colombia,Poor,Tier 1
Comoros,Poor,Tier 2 Watch List
Costa Rica,Excellent,Tier 2
Côte d'Ivoire,Unsuitable,Tier 2
Croatia,Good,Tier 2
Cuba,Good,Tier 3
Cyprus,Good,Tier 2
Czech Republic,Good,Tier 1
Democratic Republic of the Congo,Unsuitable,Tier 3
Denmark,Excellent,Tier 1
Djibouti,Poor,Tier 2 Watch List
Dominica,Good,
Dominican Republic,Fair,Tier 2
Ecuador,Poor,Tier 2
Egypt,Fair,Tier 2
El Salvador,Poor,Tier 2
Equatorial Guinea,Unsuitable,Tier 3
Eritrea,Poor,Tier 3
Estonia,Good,Tier 2
Ethiopia,Unsuitable,Tier 2
Federated States of Micronesia,Poor,Tier 2 Watch List
Fiji,Fair,Tier 2
Finland,Excellent,Tier 1
France,Excellent,Tier 1
Gabon,Poor,Tier 2
Gambia,Poor,Tier 2 Watch List
Gaza Strip,,
Georgia,Fair,Tier 2
Germany,Excellent,Tier 1
Ghana,Poor,Tier 2
Greece,Good,Tier 2
Grenada,Fair,
Guatemala,Poor,Tier 2
Guinea,Unsuitable,Tier 2 Watch List
Guinea Bissau,Unsuitable,Tier 3
Guyana,Poor,Tier 2 Watch List
Haiti,Unsuitable,Tier 2 Watch List
Honduras,Poor,Tier 2 Watch List
Hungary,Good,Tier 2
Iceland,Excellent,Tier 1
India,Poor,Tier 2
Indonesia,Poor,Tier 2
Iran,Fair,Tier 3
Iraq,Poor,Tier 2
Ireland,Excellent,Tier 1
Israel,Excellent,Tier 1
Italy,Excellent,Tier 1
Jamaica,Fair,Tier 2
Japan,Excellent,Tier 2
Jordan,Fair,Tier 2
Kazakhstan,Poor,Tier 2
Kenya,Poor,Tier 2 Watch List
Kiribati,Poor,Tier 2
Kosovo,Fair,Tier 2
Kuwait,Good,Tier 3
Kyrgyzstan,Poor,Tier 2
Laos,Unsuitable,Tier 2
Latvia,Good,Tier 2
