Afghanistan,
Albania,
Algeria,
Andorra,
Angola,1
Antigua and Barbuda,2
Argentina,
Armenia,
Australia,
Austria,
Azerbaijan,
Bahrain,
Bangladesh,
Barbados,1
Belarus,
Belgium,
Belize,2
Benin,
Bhutan,
Bolivia,
Bosnia and Herzegovina,
Botswana,1
Brazil,3
Brunei,
Bulgaria,
Burkina Faso,
Burma,1
Burundi,1
Cabo Verde,
Cambodia,1
Cameroon,1
Canada,
Central African Republic,
Chad,
Chile,
China,2
Colombia,
Comoros,
Costa Rica,2
Côte d'Ivoire,1
Croatia,
Cuba,
Cyprus,
Czech Republic,
Democratic Republic of the Congo,1
Denmark,
Djibouti,3
Dominica,2
Dominican Republic,1
Ecuador,
Egypt,
El Salvador,2
Equatorial Guinea,
Eritrea,
Estonia,
Ethiopia,1
Federated States of Micronesia,
Fiji,
Finland,
France,
Gabon,
Gambia,
Georgia,
Germany,
Ghana,1
Greece,
Grenada,2
Guatemala,2
Guinea,
Guinea Bissau,
Guyana,1
Haiti,1
Honduras,2
Hungary,
Iceland,
India,1
Indonesia,1
Iran,
Iraq,
Ireland,
Israel,
West Bank,
Gaza Strip,
Italy,
Jamaica,2
Japan,
Jordan,
Kazakhstan,2
Kenya,1
Kiribati,
Kosovo,
Kuwait,
Kyrgyzstan,2
Laos,2
Latvia,
Lebanon,
Lesotho,1
Liberia,3
Libya,
Liechtenstein,
Lithuania,
Luxembourg,
Macedonia,
Madagascar,
Malawi,1
Malaysia,
Maldives,
Mali,3
Malta,
Marshall Islands,
Mauritania,
Mauritius,
Mexico,
Moldova,
Monaco,
Mongolia,
Montenegro,
Morocco,
Mozambique,1
Namibia,1
Nauru,
Nepal,3
Netherlands,
New Zealand,
Nicaragua,2
Niger,
Nigeria,1
North Korea,
Norway,
Oman,
Pakistan,
Palau,
Panama,2
Papua New Guinea,1
Paraguay,
Peru,
Philippines,
Poland,
Portugal,
Qatar,
Republic of Congo,
Republic of Serbia,
Romania,
Russia,
Rwanda,1
Saint Kitts and Nevis,2
Saint Lucia,2
Saint Vincent and the Grenadines,2
Samoa,
San Marino,
Sao Tome and Principe,
Saudi Arabia,
Senegal,3
Seychelles,
Sierra Leone,1
Singapore,
Slovakia,
Slovenia,
Solomon Islands,
Somalia,
South Africa,1
South Korea,
South Sudan,1
Spain,
Sri Lanka,
Sudan,
Suriname,2
Swaziland,1
Sweden,
Switzerland,
Syria,
Taiwan,
Tajikistan,2
Thailand,2
The Bahamas,2
Timor-Leste,
Togo,
Tonga,
Trinidad and Tobago,2
Tunisia,
Turkey,
Turkmenistan,2
Tuvalu,
Uganda,1
Ukraine,1
United Arab Emirates,
United Kingdom,
United Republic of Tanzania,1
United States of America,
Uruguay,
Uzbekistan,2
Vanuatu,
Vatican,
Venezuela,
Vietnam,1
Western Sahara,
Yemen,
Zambia,1
Zimbabwe,1
