Country,PEPFAR_2014,NNPTSigned_2014,NNPTDeposited_2014,NNPTSignedAndDeposited_2014,MaternalHealthAccessToCare_2014,TIPS_2013,ICAOMember_2014,UNESCOMember_2014,FAOMember_2014,OASMember_2014,UNGAMember_2014,OSCEMember_2014,OECDMember_2014,NATOMember_2014,EUMember_2014,AUMember_2014,UNHCRMember_2014,MLOIndex_2014,APECMember_2014,NAFTAMember_2014,WTOMember_2014,ASEANMember_2014,CBERAMember_2014,CAFTAMember_2014,TPIndex_2014,USAID-GlobalHealth_2014,USAID-DHRA_2014,USAID-WatSan_2014,USAID-CrisisConflict_2014,USAID-GenderWomen_2014,USAID-EnvClimate_2014,USAID-ScienceTech_2014,NIV_1997,NIV_1998,NIV_1999,NIV_2000,NIV_2001,NIV_2002,NIV_2003,NIV_2004,NIV_2005,NIV_2006,NIV_2007,NIV_2008,NIV_2009,NIV_2010,NIV_2011,NIV_2012,NIV_2013,ChildMort_2012,MalariaElim_2012,TBIncidence-100k_2012,TBDrugResistance-2012
Afghanistan,,X,X,2,Poor,Tier 2 Watch List,Member,Member,Member,,Member,,,,,,,4,,,Observer,,,,1,1,1,1,,1,1,1,2285,2164,2217,1991,1988,1121,1346,1539,1912,2043,2611,2454,2775,2638,3254,2884,3078,98.5,4,189,0
Albania,,,X,1,Poor,Tier 2 Watch List,Member,Member,Member,,Member,Member,,Member,,,,6,,,Member,,,,1,,1,,,,,,2616,3933,4912,7245,7661,6194,5996,5620,7391,6337,6772,8453,7373,6853,6077,6576,6251,16.7,0,16,0
Algeria,,,X,1,Poor,Tier 3,Member,Member,Member,,Member,,,,,Member,Member,6,,,Observer,,,,1,,,,,,,,6878,6597,6454,6685,7069,3694,3114,3727,4075,4614,4855,5947,6581,6404,5882,7364,8774,20,2,89,1
Andorra,,,X,1,,,Member,Member,Member,,Member,Member,,,,,,5,,,Observer,,,,1,,,,,,,,21,24,25,24,11,32,23,26,35,26,51,29,27,37,25,30,25,3.2,0,13,0
Angola,1,,X,1,Poor,Tier 2 Watch List,Member,Member,Member,,Member,,,,,Member,,5,Member,,Member,,,,2,1,1,,,1,,,2401,2222,2843,3529,3565,2545,2418,2645,3240,3342,3754,3798,4632,4506,5678,7778,9091,163.5,4,316,0
Antigua and Barbuda,2,,X,1,Fair,Tier 2,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,Member,,2,,,,,,,,3304,3144,4150,3462,2813,2962,3795,4100,2996,3390,3229,3071,3450,2601,2190,2212,2168,9.9,0,3.9,0
Argentina,,,X,1,Fair,Tier 2,Member,Member,Member,Member,Member,,,,,,Member,6,,,Member,,,,1,,,,,,,,11226,12089,12636,13793,15375,90474,88256,82393,82393,97431,112895,121909,133382,148656,194533,261110,253004,14.2,3,25,1
Armenia,,,X,1,Poor,Tier 1,Member,Member,Member,,Member,Member,,,,,,5,,,Member,,,,1,1,1,1,1,1,1,1,5397,5673,12271,12488,11125,7144,5483,5474,5483,5009,4471,5162,4880,4614,4060,5294,6120,16.4,0,52,1
Australia,,X,X,2,Excellent,Tier 1,Member,Member,Member,,Member,,Member,,,,Member,6,,,Member,,,,1,,,,,,,,26973,28044,30576,31145,32472,29133,28488,30387,29449,31021,32126,35492,31617,33114,34230,35353,36735,4.9,0,6.5,1
Austria,,X,X,2,Excellent,Tier 1,Member,Member,Member,,Member,Member,Member,,Member,,,7,,,Member,,,,1,,,,,,,,8203,7832,8205,7772,7333,6343,5840,5536,6103,6176,6024,6084,5704,5999,6166,6382,6328,4,0,7.9,1
