Country,GH
Afghanistan,1
Albania,
Algeria,
Andorra,
Angola,1
Antigua and Barbuda,
Argentina,
Armenia,1
Australia,
Austria,
Azerbaijan,
Bahrain,
Bangladesh,1
Barbados,
Belarus,
Belgium,
Belize,
Benin,
Bhutan,
Bolivia,
Bosnia and Herzegovina,
Botswana,
Brazil,1
Brunei,
Bulgaria,
Burkina Faso,
Burma,1
Burundi,
Cabo Verde,
Cambodia,1
Cameroon,
Canada,
Central African Republic,
Chad,
Chile,
China,
Colombia,1
Comoros,
Costa Rica,
Côte d'Ivoire,
Croatia,
Cuba,
Cyprus,
Czech Republic,
Democratic Republic of the Congo,1
Denmark,
Djibouti,
Dominica,
Dominican Republic,1
Ecuador,
Egypt,1
El Salvador,1
Equatorial Guinea,
Eritrea,
Estonia,
Ethiopia,1
Federated States of Micronesia,
Fiji,
Finland,
France,
Gabon,
Gambia,
Georgia,1
Germany,
Ghana,1
Greece,
Grenada,
Guatemala,
Guinea,
Guinea Bissau,
Guyana,
Haiti,1
Honduras,
Hungary,
Iceland,
India,1
Indonesia,1
Iran,
Iraq,1
Ireland,
Israel,
Italy,
Jamaica,
Japan,
Jordan,
Kazakhstan,1
Kenya,1
Kiribati,
Kosovo,
Kuwait,
Kyrgyzstan,1
Laos,
Latvia,
Lebanon,
Lesotho,
Liberia,1
Libya,
Liechtenstein,
Lithuania,
Luxembourg,
Macedonia,
Madagascar,
Malawi,
Malaysia,
Maldives,
Mali,1
Malta,
Marshall Islands,
Mauritania,
Mauritius,
Mexico,1
Moldova,
Monaco,
Mongolia,
Montenegro,
Morocco,
Mozambique,1
Namibia,
Nauru,
Nepal,1
Netherlands,
New Zealand,
Nicaragua,1
Niger,
Nigeria,1
North Korea,
Norway,
Oman,
Pakistan,1
Palau,
Palestinian Territories,1
Panama,
Papua New Guinea,
Paraguay,
Peru,1
Philippines,1
Poland,
Portugal,
Qatar,
Republic of Congo,
Republic of Serbia,
Romania,
Russia,
Rwanda,1
Saint Kitts and Nevis,
Saint Lucia,
Saint Vincent and the Grenadines,
Samoa,
San Marino,
Sao Tome and Principe,
Saudi Arabia,
Senegal,1
Seychelles,
Sierra Leone,
Singapore,
Slovakia,
Slovenia,
Solomon Islands,
Somalia,
South Africa,1
South Korea,
South Sudan,1
Spain,
Sri Lanka,
Sudan,
Suriname,
Swaziland,
Sweden,
Switzerland,
Syria,
Taiwan,
Tajikistan,1
Thailand,
The Bahamas,
Timor-Leste,1
Togo,
Tonga,
Trinidad and Tobago,
Tunisia,
Turkey,
Turkmenistan,1
Tuvalu,
Uganda,1
Ukraine,
United Arab Emirates,
United Kingdom,
United Republic of Tanzania,1
United States of America,
Uruguay,
Uzbekistan,1
Vanuatu,
Vatican,
Venezuela,
Vietnam,1
Western Sahara,
Yemen,
Zambia,
Zimbabwe,
