Afghanistan,,X,X,2,Poor,Tier 2 Watch List,Member,Member,Member,,Member,,,,,,,4,,,Observer,,,,1
Albania,,,X,1,Poor,Tier 2 Watch List,Member,Member,Member,,Member,Member,,Member,,,,6,,,Member,,,,1
Algeria,,,X,1,Poor,Tier 3,Member,Member,Member,,Member,,,,,Member,Member,6,,,Observer,,,,1
Andorra,,,X,1,,,Member,Member,Member,,Member,Member,,,,,,5,,,Observer,,,,1
Angola,1,,X,1,Poor,Tier 2 Watch List,Member,Member,Member,,Member,,,,,Member,,5,Member,,Member,,,,2
Antigua and Barbuda,2,,X,1,Fair,Tier 2,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,Member,,2
Argentina,,,X,1,Fair,Tier 2,Member,Member,Member,Member,Member,,,,,,Member,6,,,Member,,,,1
Armenia,,,X,1,Poor,Tier 1,Member,Member,Member,,Member,Member,,,,,,5,,,Member,,,,1
Australia,,X,X,2,Excellent,Tier 1,Member,Member,Member,,Member,,Member,,,,Member,6,,,Member,,,,1
Austria,,X,X,2,Excellent,Tier 1,Member,Member,Member,,Member,Member,Member,,Member,,,7,,,Member,,,,1
Azerbaijan,,,X,1,Poor,Tier 2,Member,Member,Member,,Member,Member,,,,,Member,6,,,Observer,,,,1
Bahrain,,,X,1,Good,Tier 2 Watch List,Member,Member,Member,,Member,,,,,,,4,,,Member,,,,1
Bangladesh,,,X,1,Poor,Tier 2,Member,Member,Member,,Member,,,,,,Member,5,,,Member,,,,1
Barbados,1,X,X,2,Fair,Tier 2 Watch List,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,Member,,2
Belarus,,,X,1,Poor,Tier 2 Watch List,Member,Member,Member,,Member,Member,,,,,,5,,,Observer,,,,1
Belgium,,X,X,2,Excellent,Tier 1,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9,,,Member,,,,1
Belize,2,,X,1,Poor,Tier 2,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,Member,,2
Benin,,X,X,2,Unsuitable,Tier 2,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,Member,,,,2
Bhutan,,,X,1,Poor,Tier 2,Member,Member,Member,,Member,,,,,,,4,,,Observer,,,,1
Bolivia,,X,X,2,Poor,Tier 2,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,,,1
Bosnia and Herzegovina,,,X,1,Fair,Tier 2,Member,Member,Member,,Member,Member,,,,,,5,,,Observer,,,,1
Botswana,1,X,X,2,Fair,Tier 2,Member,Member,Member,,Member,,,,,Member,,5,Member,,Member,,,,2
Brazil,3,,X,1,Poor,Tier 2,Member,Member,Member,,Member,,,,,,Member,5,,,Member,,,,1
Brunei,,,X,1,Good,Tier 2,Member,Member,Member,,Member,,,,,,,4,,,Member,Member,,,2
Bulgaria,,X,X,2,Fair,Tier 2,Member,Member,Member,,Member,Member,,Member,Member,,Member,8,,,Member,,,,1
Burkina Faso,,X,X,2,Unsuitable,Tier 2,Member,Member,Member,,Member,,,,,Member,,5,Member,,Member,,,,2
Burma,1,,X,1,Unsuitable,Tier 2 Watch List,Member,,Member,,Member,,,,,,,3,,,Member,Member,,,2
Burundi,1,,X,1,Poor,Tier 2 Watch List,Member,Member,Member,,Member,,,,,Member,,5,Member,,Member,,,,2
