Afghanistan,,,Observer,,,,1
Albania,,,Member,,,,1
Algeria,,,Observer,,,,1
Andorra,,,Observer,,,,1
Angola,Member,,Member,,,,2
Antigua and Barbuda,,,Member,,Member,,2
Argentina,,,Member,,,,1
Armenia,,,Member,,,,1
Australia,,,Member,,,,1
Austria,,,Member,,,,1
Azerbaijan,,,Observer,,,,1
Bahrain,,,Member,,,,1
Bangladesh,,,Member,,,,1
Barbados,,,Member,,Member,,2
Belarus,,,Observer,,,,1
Belgium,,,Member,,,,1
Belize,,,Member,,Member,,2
Benin,Member,,Member,,,,2
Bhutan,,,Observer,,,,1
Bolivia,,,Member,,,,1
Bosnia and Herzegovina,,,Observer,,,,1
Botswana,Member,,Member,,,,2
Brazil,,,Member,,,,1
Brunei,,,Member,Member,,,2
Bulgaria,,,Member,,,,1
Burkina Faso,Member,,Member,,,,2
Burma,,,Member,Member,,,2
Burundi,Member,,Member,,,,2
Cabo Verde,Member,,Member,,,,2
Cambodia,,,Member,Member,,,2
Cameroon,Member,,Member,,,,2
Canada,,Member,Member,,,,2
Central African Republic,Member,,Member,,,,2
Chad,Member,,Member,,,,2
Chile,,,Member,,,,1
China,,,Member,,,,1
Colombia,,,Member,,,,1
Comoros,Member,,Observer,,,,2
Costa Rica,,,Member,,,Member,2
Côte d'Ivoire,Member,,Member,,,,2
Croatia,,,Member,,,,1
Cuba,,,Member,,,,1
Cyprus,,,Member,,,,1
Czech Republic,,,Member,,,,1
Democratic Republic of the Congo,Member,,Member,,,,2
Denmark,,,Member,,,,1
Djibouti,Member,,Member,,,,2
Dominica,,,Member,,Member,,2
Dominican Republic,,,Member,,,Member,2
Ecuador,,,Member,,,,1
Egypt,,,Member,,,,1
El Salvador,,,Member,,,Member,2
Equatorial Guinea,Member,,Observer,,,,2
Eritrea,Member,,,,,,1
Estonia,,,Member,,,,1
Ethiopia,Member,,Observer,,,,2
Federated States of Micronesia,,,,,,,0
Fiji,,,Member,,,,1
Finland,,,Member,,,,1
France,,,Member,,,,1
Gabon,Member,,Member,,,,2
Gambia,Member,,Member,,,,2
Georgia,,,Member,,,,1
Germany,,,Member,,,,1
Ghana,Member,,Member,,,,2
Greece,,,Member,,,,1
Grenada,,,Member,,Member,Member,3
