Name;Description;KeyID;ThemeID;ID
Nuclear Arms Control;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam aliquet fermentum ipsum, id commodo orci dignissim non. Mauris vulputate ultricies leo, et porta orci pretium in. Duis pulvinar iaculis augue, sit amet mollis quam tristique.;NuclearArmsControl_Key;security;NuclearArmsControl
Border Security;The Department of State is committed to welcoming and facilitating legitimate travel to America by international visitors while maintaining the integrity and security of our borders and our nation.  By law, U.S. embassies and consulates abroad must use biometric identifiers in the travel and entry documents they issue to prospective international visitors.  The best known biometric is the fingerprint, but others include facial recognition and eye scans.;BorderSecurity_Key;security;BorderSecurity
Counter-narcotics;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam aliquet fermentum ipsum, id commodo orci dignissim non. Mauris vulputate ultricies leo, et porta orci pretium in. Duis pulvinar iaculis augue, sit amet mollis quam tristique.;CounterNarcotics_Key;security;CounterNarcotics
Counter-terrorism;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam aliquet fermentum ipsum, id commodo orci dignissim non. Mauris vulputate ultricies leo, et porta orci pretium in. Duis pulvinar iaculis augue, sit amet mollis quam tristique.;CounterTerrorism_Key;security;CounterTerrorism
Securing the Seas;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam aliquet fermentum ipsum, id commodo orci dignissim non. Mauris vulputate ultricies leo, et porta orci pretium in. Duis pulvinar iaculis augue, sit amet mollis quam tristique.;SecuringTheSeas_Key;security;SecuringTheSeas
Good Governance (trade legislation);Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam aliquet fermentum ipsum, id commodo orci dignissim non. Mauris vulputate ultricies leo, et porta orci pretium in. Duis pulvinar iaculis augue, sit amet mollis quam tristique.;GoodGovernance_Key;business;GoodGovernance
Increasing Markets;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam aliquet fermentum ipsum, id commodo orci dignissim non. Mauris vulputate ultricies leo, et porta orci pretium in. Duis pulvinar iaculis augue, sit amet mollis quam tristique.;IncreasingMarkets_Key;business;IncreasingMarkets
Intellectual Property Rights;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam aliquet fermentum ipsum, id commodo orci dignissim non. Mauris vulputate ultricies leo, et porta orci pretium in. Duis pulvinar iaculis augue, sit amet mollis quam tristique.;IntellectualPropertyRights_Key;business;IntellectualPropertyRights
Multi-Lateral Organizations;United States engages the world through a wide variety of international organizations. Click on an organization below to see its membership.;MultiLateralOrganizations_Key;business;MultiLateralOrganizations
Trade Promotion;The State Department, along with the Departments of Commerce, Treasury and Agriculture, works to open new export opportunities for American business, farmers, ranchers and other workers.  Free trade agreements with other countries widen access for U.S. goods and services abroad.  Trade partnerships also support global economic development, resolve trade disputes, and strengthen intellectual property rights enforcement.;TradePromotion_Key;business;TradePromotion
Science and Technology Promotion;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam aliquet fermentum ipsum, id commodo orci dignissim non. Mauris vulputate ultricies leo, et porta orci pretium in. Duis pulvinar iaculis augue, sit amet mollis quam tristique.;ScienceAndTechnologyPromotion_Key;business;ScienceAndTechnologyPromotion
Visas and Tourism;Finding a balance between allowing visitors to the United States while maintaining secure borders is the responsibility of the State Department’s Bureau of Consular Affairs. In 2013 alone, the United States issued over 473,000 immigrant visas and over 9.1 million non-immigrant visas. The consulate in Sao Paulo, Brazil was the busiest office having issued 518,106 non-immigrant visas.;VisasAndTourism_Key;business;VisasAndTourism
Climate Change;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam aliquet fermentum ipsum, id commodo orci dignissim non. Mauris vulputate ultricies leo, et porta orci pretium in. Duis pulvinar iaculis augue, sit amet mollis quam tristique.;ClimateChange_Key;environment;ClimateChange
Endangered Species;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam aliquet fermentum ipsum, id commodo orci dignissim non. Mauris vulputate ultricies leo, et porta orci pretium in. Duis pulvinar iaculis augue, sit amet mollis quam tristique.;EndangeredSpecies_Key;environment;EndangeredSpecies
Energy Policy;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam aliquet fermentum ipsum, id commodo orci dignissim non. Mauris vulputate ultricies leo, et porta orci pretium in. Duis pulvinar iaculis augue, sit amet mollis quam tristique.;EnergyPolicy_Key;environment;EnergyPolicy
Environmental Conservation;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam aliquet fermentum ipsum, id commodo orci dignissim non. Mauris vulputate ultricies leo, et porta orci pretium in. Duis pulvinar iaculis augue, sit amet mollis quam tristique.;EnvironmentalConservation_Key;environment;EnvironmentalConservation
Water and Sanitation;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam aliquet fermentum ipsum, id commodo orci dignissim non. Mauris vulputate ultricies leo, et porta orci pretium in. Duis pulvinar iaculis augue, sit amet mollis quam tristique.;WaterandSanitation_Key;environment;WaterandSanitation
Free and Fair Elections;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam aliquet fermentum ipsum, id commodo orci dignissim non. Mauris vulputate ultricies leo, et porta orci pretium in. Duis pulvinar iaculis augue, sit amet mollis quam tristique.;FreeandFairElections_Key;rights;FreeandFairElections
Human Rights and Governance;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam aliquet fermentum ipsum, id commodo orci dignissim non. Mauris vulputate ultricies leo, et porta orci pretium in. Duis pulvinar iaculis augue, sit amet mollis quam tristique.;HumanRightsandGovernance_Key;rights;HumanRightsandGovernance
Human Trafficking;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam aliquet fermentum ipsum, id commodo orci dignissim non. Mauris vulputate ultricies leo, et porta orci pretium in. Duis pulvinar iaculis augue, sit amet mollis quam tristique.;HumanTrafficking_Key;rights;HumanTrafficking
Independent Judiciary;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam aliquet fermentum ipsum, id commodo orci dignissim non. Mauris vulputate ultricies leo, et porta orci pretium in. Duis pulvinar iaculis augue, sit amet mollis quam tristique.;IndependentJudiciary_Key;rights;IndependentJudiciary
Independent Media;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam aliquet fermentum ipsum, id commodo orci dignissim non. Mauris vulputate ultricies leo, et porta orci pretium in. Duis pulvinar iaculis augue, sit amet mollis quam tristique.;IndependentMedia_Key;rights;IndependentMedia
Internet Freedom;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam aliquet fermentum ipsum, id commodo orci dignissim non. Mauris vulputate ultricies leo, et porta orci pretium in. Duis pulvinar iaculis augue, sit amet mollis quam tristique.;InternetFreedom_Key;rights;InternetFreedom
Minority Rights;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam aliquet fermentum ipsum, id commodo orci dignissim non. Mauris vulputate ultricies leo, et porta orci pretium in. Duis pulvinar iaculis augue, sit amet mollis quam tristique.;MinorightyRights_Key;rights;MinorightyRights
Religious Freedom;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam aliquet fermentum ipsum, id commodo orci dignissim non. Mauris vulputate ultricies leo, et porta orci pretium in. Duis pulvinar iaculis augue, sit amet mollis quam tristique.;ReligiousFreedom_Key;rights;ReligiousFreedom
Gender Equality and Women Empowerment;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam aliquet fermentum ipsum, id commodo orci dignissim non. Mauris vulputate ultricies leo, et porta orci pretium in. Duis pulvinar iaculis augue, sit amet mollis quam tristique.;GenderEqualityAndWomenEmpowerment_Key;rights;GenderEqualityAndWomenEmpowerment
Health Issues;The State Department and the U.S. Agency for International Development have played a vital role in the worldwide campaign against infectious diseases, including HIV/AIDS, tuberculosis, malaria, and polio.  Addressing global health challenges is a moral imperative – and it bolsters global security, fosters political stability and promotes economic growth and development. Through the President’s Emergency Plan for AIDS Relief (PEPFAR), begun during the President George W. Bush Administration, the United States supports treatment for over 1.7 million people around the world, and has enabled 200,000 children to be born HIV-free.  The program was reauthorized in 2008, with an added commitment of $48 billion over five years to combat HIV/AIDS, tuberculosis, and malaria.  The United States is on the frontlines of the global battle against tuberculosis, one of the three leading causes of infectious disease deaths worldwide.  The U.S. Agency for International Development (USAID) works with other countries to improve their services to patients and to develop new diagnostic technologies.  We also support the fight against malaria through the President’s Malaria Initiative (PMI), a five-year program run by USAID that targets 15 of the hardest-hit countries in Africa.  PMI aims to reduce malaria-related deaths by 50 percent in the focus countries.  The United States has provided nearly 30 percent of the global contributions to the Global Polio Eradication Initiative, which has brought the number of countries affected by polio from 125 in 1988 down to four.  The State Department’s Global Health Initiative, an investment of $63 billion, places an emphasis on the health of women and girls who have a multiplier effect on their families and communities.;HealthIssues_Key;lives;HealthIssues
Working in Crisis and Conflict;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam aliquet fermentum ipsum, id commodo orci dignissim non. Mauris vulputate ultricies leo, et porta orci pretium in. Duis pulvinar iaculis augue, sit amet mollis quam tristique.;WorkingInCrisisAndConflict_Key;lives;WorkingInCrisisAndConflict
Disaster Assistance;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam aliquet fermentum ipsum, id commodo orci dignissim non. Mauris vulputate ultricies leo, et porta orci pretium in. Duis pulvinar iaculis augue, sit amet mollis quam tristique.;DisasterAssistance_Key;lives;DisasterAssistance
Refugee Assistance;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam aliquet fermentum ipsum, id commodo orci dignissim non. Mauris vulputate ultricies leo, et porta orci pretium in. Duis pulvinar iaculis augue, sit amet mollis quam tristique.;RefugeeAssistance_Key;lives;RefugeeAssistance
Transnational Crime;"Transnational organized crime involves associations of people who operate internationally to obtain power, influence, monetary and/or commercial gains, wholly or in part by illegal means.  They traffic in arms, drugs, human beings, and wildlife.  They are involved in money laundering, bribery, credit card fraud, and counterfeiting products.  There is no single structure under which transnational organized criminals operate; they vary from hierarchies to clans, networks, and cells. They often commit violence or other acts of intimidation. And they attempt to gain influence in government, politics, and commerce through corrupt as well as legitimate means.";TransnationalCrime_Key;security;TransnationalCrime
Freedom of the Press;Freedom of the press is globally important;FreedomOfThePress_Key;rights;FreedomOfThePress
