pointlayername,header,topic,map,country,title,story,lat,lon,locationname
NIV_1997_Key,,Securing Peace,Border Security,Mauritius,U.S. Attendance at the Global Forum on Migration and Development,"Every year, representatives of the State Department from the Bureau of Population, Refugees, and Migration attend the Global Forum on Migration and Development. The forum brings together 130 countries to discuss how civil society and governments can work together to protect and advocate for vulnerable migrants and advance an agenda that appropriately addresses migration and development links.",-20.348404,57.552152,
NIV_1997_Key,,Securing Peace,Border Security,United States,Prosecuting Visa Fraud under the High-Tech Visa Program,"A Cupertino, California man pled guilty in April 2014 to 19 counts of Visa Fraud after an investigation by the Department of Stateﾒs Diplomatic Security Serviceﾒs Representative. The Document and Benefit Fraud Task Force (DBFTF) discovered the man had filed false immigration forms for 19 applicants who claimed to be part of the high-technology worker visa program. This visa program is implemented in particular cases where American employers have high-technology jobs that cannot be filled by Americans. The DBFTF is a multi-agency task force between the U.S. Department of State, the Department of Homeland Security and others.",36.778261,-119.417932,"California, United States"
NIV_1997_Key,,Securing Peace,Border Security,Lebanon,Discovery of Criminal History Stops Naturalization Application,"A Lebanese citizen was convicted in May 2014 of making false statements in connection with his naturalization application. The applicant failed to disclose his criminal history both in Lebanon and in Michigan in his application for naturalization. As a result of his omissions, he fraudulently obtained legal permanent residency status and continued to lie to U.S. immigration authorities during naturalization proceedings. .  An investigation by U.S. Immigration and Customs Enforcement Investigations, the U.S. Department of State's Bureau of Diplomatic Security, U.S. Embassy Beirut and others uncovered the omissions and the naturalization process was stopped. After the criminal charges have been fully adjudicated, he will be placed in removal proceedings.",33.888629,35.495479,"Beirut, Lebanon"
NIV_1997_Key,,Securing Peace,Border Security,Ethiopia,International Adoption Fraud,Employees at an adoption firm in South Carolina were indicted in February 2014 for allegedly conspiring to defraud the United States in connection with their adoption services in Ethiopia. They are accused of submitting fraudulent adoption contracts signed by orphanages that never cared for nor housed the children. The charges also included agreeing to create counterfeit U.S. Citizenship and Immigration Service forms that were to be submitted to the Ethiopian government. The ongoing investigation is conducted by the Department of Stateﾒs Bureau of Diplomatic Security.,9.145,40.489673,
TIPS_2013_Key,,Securing Peace,Border Security,Albania,U.S. Agent Receives Medal of Honor in Albania for Anti-Trafficking Cooperation,"The Government of Albania bestowed on Diplomatic Security Special Agent Barry Hale its Medal of Honor for distinguished service in support of the Albanian State Police in interdicting the trafficking in persons in and through the country.  Special Agent Hale managed nine extraditions, including that of Hektor Kelmendi, named as one of five most-wanted human trafficking suspects by the Department of Homeland Securityﾒs Immigration and Customs Enforcement. Albanian Minister of the Interior Flamur Noka praised Special Agent Hale for his contribution to strengthening the professional capacity of the Albanian State Police as well as cooperation between U.S. and Albanian law enforcement agencies. The award is the highest honor that the Albanian government can confer upon a foreign official, and it also marks the first time that the Albanian government has so honored a U.S. Embassy employee.",41.153332,20.168331,
NIV_1997_Key,,Securing Peace,Border Security,Nicaragua,Man Pleads Guilty to Using Brotherﾒs Identity to Obtain Visa,"A 29-year-old Nicaraguan, previously deported from the U.S., was sentenced to seven years in prison following his pleas of guilty to being an alien in the United States after having previously been deported and another charge of making false statements in an application for a passport. Court testimony revealed he had been deported in December 2009 but in 2011 attempted to return to the United States via Mexico. He falsely presented to Mexican authorities and U.S. Consulate representatives documents identifying himself as his own brother, who is a U.S. citizen, to obtain a U.S. passport under false pretenses. Michael C. Ormsby, U.S. Attorney for the Eastern District of Washington, said, ""The United States Attorney's Office is committed to prosecuting those who use false and fraudulent documents to hide their lengthy criminal histories and illegally obtain entry into the United States.""  This investigation was conducted by the Diplomatic Security Service of the U.S. State Department.",12.865416,-85.207229,
USAID-DHRA_2014_Key,,Saving Lives,Disaster Assistance,Philippines,U.S. Response to Typhoon Yolanda in the Philippines,"Following flooding, landslides, and widespread loss of life and damage brought by Typhoon Yolanda, the United States was the first country to respond to the call for help from the Philippine Government. The Department of Defense immediately mobilized the 3rd Marine Expeditionary Battalion to provide airlifts while USAID Foreign Disaster Assistance organized $20 million in humanitarian assistance. Together, they airlifted 55 metric tons of emergency food products to the island of Cebu and beyond. Just four days after the typhoon hit, USAID and the U.S. Marines were transporting heavy-duty plastic sheeting and hygiene kits to Tacloban, one of the areas struck the hardest by the typhoon.",12.879721,121.774017,
USAID-DHRA_2014_Key,,Saving Lives,Disaster Assistance,Japan,Consular Assistance Team Helps U.S. Citizens near Japan Earthquake,"After the alert came in of a devastating earthquake and tsunami in Japan in March 2011, Consular officers in Tokyo and Washington worked around the clock to assist American citizens in the region. The U.S. Embassy in Japan deployed consular assistance teams to locate American citizens, visit shelters, and help Americans leave the affected areas. The teams coordinated local bus transport for over 500 citizens and made flight arrangements to various locations in East Asia for any American citizens who wanted to leave the country as well as for family members of U.S. Government personnel in Tokyo, Nagoya, and Yokohama. The Department of State also issued travel warnings and advised U.S. citizens to defer all travel to the evacuation zone around Fukushima Daiichi Nuclear Power Plant and other areas affected by the earthquake and tsunami.",36.204824,138.252924,
USAID-DHRA_2014_Key,,Saving Lives,Disaster Assistance,Chile,Tsunami,"On April 1st, 2014 a powerful 8.2 magnitude earthquake struck near the northern coast of Chile. With a tsunami approaching the mainland and several strong aftershocks to come, nearly 1 million people were safely evacuated from the coast thanks to cooperation between USAIDﾒs Office of Foreign Disaster Assistance and the Chilean Government. The U.S. and Chile have been working together for more than two decades to enhance Chileﾒs early detection and disaster response systems which allowed for rapid response when the tsunami was detected. Since 2010, USAID has emphasized a national monitoring system for the country that allows local experts to study and track seismic activity throughout the region.",-35.675147,-71.542969,
USAID-DHRA_2014_Key,,Saving Lives,Disaster Assistance,Israel,USAID Helps Fight Israeli Wildfires,"When wildfires ravaged large areas of Mount Carmel forest, killing 41 people and damaging hundreds of homes in northern Israel in early December, USAID West Bank and Gaza immediately mobilized the USAID Disaster Assistance Response Team (DART) which arrived in Haifa on December 5.  The rapid mobilization of U.S. assistance and intensive coordination with the government of Israel to combat the forest fires, including flying nearly 70 metric tons (MT) of fire suppressant and 3,800 gallons of fire retardant concentrate to Israel, helped stop the flames in their tracks.  In a display of international cooperation, the Israeli firefighters were also assisted by its Arab neighbors, Jordan and Egypt, as well as the Palestinian Authority who sent three fire engines and firefighters to suppress the fires together with their Israeli counterparts.",31.046051,34.851612,
